time_step,agent_id,position,orientation,eating_event,displacement
0,0,[31.04236157 40.16953097],-0.5204934995440417,False,
1,0,[31.04722623 40.1575273 ],-1.1857603307968514,False,0.01295193940351662
2,0,[31.30791823 39.68528956],-1.0663916775287867,False,0.5394152465484672
3,0,[31.29128085 39.59298342],-1.7491230817508387,False,0.09379353457763809
4,0,[31.29475829 39.10077138],-1.5637315086632595,False,0.49222432301470037
5,0,[31.24236512 38.55214675],-1.6660067160757228,False,0.5511207030056018
6,0,[31.26989704 38.03759454],-1.5173407369721694,False,0.5152882523518598
7,0,[31.19987035 37.9248691 ],-2.1266688931757676,False,0.13270554554820307
8,0,[30.90880148 37.59480612],-2.293497662811997,False,0.4400711910973963
9,0,[30.60986286 37.41479477],-2.5995803704961684,False,0.34895327097267614
10,0,[30.16242163 37.26164915],-2.8118209420693314,False,0.47292413529710486
11,0,[30.08587599 37.29652023],-3.569060146429714,False,0.08411437043886075
12,0,[29.9037859  37.52360176],-4.036508220092889,False,0.2910718562548467
13,0,[29.90562906 37.53349703],-4.896545777936897,False,0.01006545803762652
14,0,[29.91899126 38.045223  ],-4.738495077830967,False,0.511900400628836
15,0,[29.82447882 38.37933837],-4.436717514608244,False,0.34722569229582523
16,0,[29.67903756 38.96377101],-4.468484590965701,False,0.6022579799384443
17,0,[29.58433172 39.52585842],-4.54546723908841,False,0.5700100408403522
18,0,[29.65954288 39.67074273],-5.191208853817644,False,0.1632427153100214
19,0,[29.71543041 39.95521194],-4.906380805351333,False,0.2899071302750738
20,0,[29.71017851 39.96758231],-4.310895493317613,False,0.01343906976439018
21,0,[29.48375889 40.53340269],-4.331743251774907,False,0.6094411782954084
22,0,[29.46168035 40.90924393],-4.653712072728668,False,0.37648917425230216
23,0,[29.55123231 41.33422251],-4.920071739851746,False,0.43431134872085125
24,0,[29.73653888 41.79706852],-5.0932085352939,False,0.49856289024368944
25,0,[29.88248834 41.90838144],-5.631617464603897,False,0.18355329073455032
26,0,[30.14826868 42.24751154],-5.3771190352555065,False,0.43086936993732977
27,0,[30.16305615 42.44842132],-4.785859011782105,False,0.20145324775197487
28,0,[30.14228753 42.47086743],-3.965788908367677,False,0.030580440426282485
29,0,[30.14242827 42.56115199],-4.713947789689915,False,0.09028466547276173
30,0,[30.22454961 42.66935853],-5.361581729813769,False,0.13584023682498333
31,0,[30.42978315 43.10018748],-5.156953668753697,False,0.47721524921027414
32,0,[30.39703728 43.25514362],-4.504129563932162,False,0.15837833308230131
33,0,[30.34134709 43.70508607],-4.589243458932298,False,0.45337578773467946
34,0,[30.42597475 43.96502726],-5.027131501422517,False,0.2733701930090946
35,0,[30.52355231 44.35349112],-4.958485705261438,False,0.4005315893194437
36,0,[30.53935149 44.7097376 ],-4.756708931981918,False,0.35659664479971154
37,0,[30.47085676 44.7971818 ],-4.04791646346105,False,0.11107662000367315
38,0,[30.19531921 45.18586919],-4.095719833260875,False,0.4764439402324981
39,0,[30.18737383 45.18784279],-3.385061346949548,False,0.008186828380510661
40,0,[30.15166598 45.16544139],-2.581303512571239,False,0.04215297123903736
41,0,[29.88547074 44.85475292],-2.279220029524128,False,0.4091298522658585
42,0,[29.76794573 44.51700182],-1.9056556079356253,False,0.357614221325978
43,0,[29.70532849 44.3473219 ],-1.924324146526024,False,0.18086512844650202
44,0,[29.75128025 44.15855991],-1.3320035082448058,False,0.19427468334317388
45,0,[29.76258589 44.15052831],-0.6176762547718476,False,0.01386809112548062
46,0,[29.82142493 43.98510781],-1.2290581252228043,False,0.1755732767806812
47,0,[30.02424543 43.40346631],-1.2352768820324838,False,0.6159894352765072
48,0,[30.02350599 43.40221546],-2.10468375699083,False,0.0014530634948997487
49,0,[29.87493146 42.96238996],-1.8965644793176015,False,0.4642422463162542
